Trial,Bay,Block,Range,Row,Expt_17,Name,Comments,Yr 6/11/17
Yr'17,AGT block,1,125,14,CAIGE,88:CWA15,,1
Yr'17,AGT block,1,125,15,CAIGE,89:CWA15,,1
Yr'17,AGT block,1,125,16,CAIGE,90:CWA15,,1
Yr'17,AGT block,1,125,17,Control,Tincurrin,,7
Yr'17,AGT block,1,125,18,CAIGE,91:CWA15,,1
Yr'17,AGT block,1,125,19,CAIGE,92:CWA15,,1
Yr'17,AGT block,1,125,20,CAIGE,93:CWA15,,-
Yr'17,AGT block,1,125,21,CAIGE,94:CWA15,,1
Yr'17,AGT block,1,125,22,CAIGE,95:CWA15,,5
Yr'17,AGT block,1,125,23,CAIGE,96:CWA15,,6
Yr'17,AGT block,1,125,24,Control,Janz,,4
Yr'17,AGT block,1,126,1,Control,Morocco,,9
Yr'17,AGT block,1,126,2,CAIGE,97:CWA15,,3
Yr'17,AGT block,1,126,3,CAIGE,98:CWA15,,3
Yr'17,AGT block,1,126,4,CAIGE,99:CWA15,,2
Yr'17,AGT block,1,126,5,CAIGE,100:CWA15,,2
Yr'17,AGT block,1,126,6,CAIGE,101:CWA15,,4
Yr'17,AGT block,1,126,7,CAIGE,102:CWA15,,2
Yr'17,AGT block,1,126,8,CAIGE,103:CWA15,,2
Yr'17,AGT block,1,126,9,Control,Yitpi,,3
Yr'17,AGT block,1,126,10,CAIGE,104:CWA15,,2
Yr'17,AGT block,1,126,11,CAIGE,105:CWA15,,2
Yr'17,AGT block,1,126,12,CAIGE,106:CWA15,,4
Yr'17,AGT block,1,126,13,CAIGE,107:CWA15,,3
Yr'17,AGT block,1,126,14,CAIGE,108:CWA15,,2
Yr'17,AGT block,1,126,15,CAIGE,112:CWA15,,1
Yr'17,AGT block,1,126,16,CAIGE,113:CWA15,,7
Yr'17,AGT block,1,126,17,Control,Yitpi,,3
Yr'17,AGT block,1,126,18,CAIGE,114:CWA15,,3
Yr'17,AGT block,1,126,19,CAIGE,115:CWA15,,3
Yr'17,AGT block,1,126,20,CAIGE,116:CWA15,,2
Yr'17,AGT block,1,126,21,CAIGE,117:CWA15,,3
Yr'17,AGT block,1,126,22,CAIGE,118:CWA15,,-
Yr'17,AGT block,1,126,23,CAIGE,119:CWA15,,1
Yr'17,AGT block,1,126,24,Control,Mace,,7
Yr'17,AGT block,1,127,1,Control,Mace,,6
Yr'17,AGT block,1,127,2,CAIGE,1:RAV15,,1
Yr'17,AGT block,1,127,3,CAIGE,4:RAV15,,1
Yr'17,AGT block,1,127,4,CAIGE,5:RAV15,,1
Yr'17,AGT block,1,127,5,CAIGE,6:RAV15,,1
Yr'17,AGT block,1,127,6,CAIGE,8:RAV15,,1
Yr'17,AGT block,1,127,7,CAIGE,15:RAV15,,1
Yr'17,AGT block,1,127,8,CAIGE,16:RAV15,,1
Yr'17,AGT block,1,127,9,Control,Tincurrin,,6
Yr'17,AGT block,1,127,10,CAIGE,18:RAV15,,3
Yr'17,AGT block,1,127,11,CAIGE,19:RAV15,,1
Yr'17,AGT block,1,127,12,CAIGE,20:RAV15,,1
Yr'17,AGT block,1,127,13,CAIGE,22:RAV15,,1
Yr'17,AGT block,1,127,14,CAIGE,23:RAV15,,1
Yr'17,AGT block,1,127,15,CAIGE,24:RAV15,,1
Yr'17,AGT block,1,127,16,CAIGE,25:RAV15,,1
Yr'17,AGT block,1,127,17,Control,Yitpi,,1
Yr'17,AGT block,1,127,18,CAIGE,28:RAV15,,1
Yr'17,AGT block,1,127,19,CAIGE,29:RAV15,,1
