Trial,Bay,Block,Range,Row,Expt_17,Name,Sr 04/12 mel
Sr '17,A,3,48,3,CAIGE,94:CWA15,6
Sr '17,A,3,48,4,CAIGE,95:CWA15,8
Sr '17,A,3,48,5,CAIGE,96:CWA15,2
Sr '17,A,3,48,6,CAIGE,97:CWA15,5
Sr '17,A,3,48,7,Control,Sonora,7
Sr '17,A,3,48,8,CAIGE,98:CWA15,3
Sr '17,A,3,48,9,CAIGE,99:CWA15,5
Sr '17,A,3,48,10,CAIGE,100:CWA15,4
Sr '17,A,3,48,11,CAIGE,101:CWA15,3
Sr '17,A,3,48,12,CAIGE,102:CWA15,5
Sr '17,A,3,48,13,Control,Shield,3
Sr '17,A,3,48,14,CAIGE,103:CWA15,5
Sr '17,A,3,48,15,CAIGE,104:CWA15,1
Sr '17,A,3,48,16,CAIGE,105:CWA15,5
Sr '17,A,3,48,17,CAIGE,106:CWA15,2
Sr '17,A,3,48,18,CAIGE,107:CWA15,2
Sr '17,A,3,48,19,Control,Shield,3
Sr '17,A,3,48,20,CAIGE,108:CWA15,2
Sr '17,A,3,48,21,CAIGE,112:CWA15,5
Sr '17,A,3,48,22,CAIGE,113:CWA15,2
Sr '17,A,3,48,23,CAIGE,114:CWA15,5
Sr '17,A,3,48,24,Control,Beaufort,8
Sr '17,A,3,49,1,Control,Sonora,7
Sr '17,A,3,49,2,CAIGE,115:CWA15,5
Sr '17,A,3,49,3,CAIGE,116:CWA15,6
Sr '17,A,3,49,4,CAIGE,117:CWA15,4
Sr '17,A,3,49,5,CAIGE,118:CWA15,5
Sr '17,A,3,49,6,CAIGE,119:CWA15,2
Sr '17,A,3,49,7,Control,Beaufort,8
Sr '17,A,3,49,8,CAIGE,1:RAV15,5
Sr '17,A,3,49,9,CAIGE,4:RAV15,4
Sr '17,A,3,49,10,CAIGE,5:RAV15,3
Sr '17,A,3,49,11,CAIGE,6:RAV15,3
Sr '17,A,3,49,12,CAIGE,8:RAV15,4
Sr '17,A,3,49,13,Control,Trojan,4
Sr '17,A,3,49,14,CAIGE,15:RAV15,2
Sr '17,A,3,49,15,CAIGE,16:RAV15,1
Sr '17,A,3,49,16,CAIGE,18:RAV15,3
Sr '17,A,3,49,17,CAIGE,19:RAV15,2
Sr '17,A,3,49,18,CAIGE,20:RAV15,2
Sr '17,A,3,49,19,Control,Sonora,8
Sr '17,A,3,49,20,CAIGE,22:RAV15,4
Sr '17,A,3,49,21,CAIGE,23:RAV15,3
Sr '17,A,3,49,22,CAIGE,24:RAV15,3
Sr '17,A,3,49,23,CAIGE,25:RAV15,3
Sr '17,A,3,49,24,Control,Beaufort,8
Sr '17,A,3,50,1,Control,Trojan,4
Sr '17,A,3,50,2,CAIGE,28:RAV15,4
Sr '17,A,3,50,3,CAIGE,29:RAV15,3
Sr '17,A,3,50,4,CAIGE,31:RAV15,2
Sr '17,A,3,50,5,CAIGE,33:RAV15,2
Sr '17,A,3,50,6,CAIGE,34:RAV15,4
Sr '17,A,3,50,7,Control,Beaufort,8
Sr '17,A,3,50,8,CAIGE,35:RAV15,3
Sr '17,A,3,50,9,CAIGE,36:RAV15,4
Sr '17,A,3,50,10,CAIGE,37:RAV15,4
Sr '17,A,3,50,11,CAIGE,40:RAV15,2
Sr '17,A,3,50,12,CAIGE,41:RAV15,1
Sr '17,A,3,50,13,Control,Beaufort,8
Sr '17,A,3,50,14,CAIGE,42:RAV15,4
Sr '17,A,3,50,15,CAIGE,47:RAV15,7
Sr '17,A,3,50,16,CAIGE,55:RAV15,5
Sr '17,A,3,50,17,CAIGE,57:RAV15,3
Sr '17,A,3,50,18,CAIGE,61:RAV15,4
Sr '17,A,3,50,19,Control,Preston,7
Sr '17,A,3,50,20,CAIGE,62:RAV15,7
Sr '17,A,3,50,21,CAIGE,63:RAV15,1
Sr '17,A,3,50,22,CAIGE,64:RAV15,1
Sr '17,A,3,50,23,CAIGE,65:RAV15,2
Sr '17,A,3,50,24,Control,Cosmick,6
